date,is_public_holiday,is_long_weekend,holiday_name,days_to_next_holiday,days_since_holiday
2024-05-29,0,0,,3,19
2024-05-30,0,0,,2,20
2024-05-31,0,0,,1,21
2024-06-01,1,1,Madaraka Day,15,22
2024-06-02,0,0,,14,1
2024-06-03,0,0,,13,2
2024-06-04,0,0,,12,3
2024-06-05,0,0,,11,4
2024-06-06,0,0,,10,5
2024-06-07,0,0,,9,6
2024-06-08,0,0,,8,7
2024-06-09,0,0,,7,8
2024-06-10,0,0,,6,9
2024-06-11,0,0,,5,10
2024-06-12,0,0,,4,11
2024-06-13,0,0,,3,12
2024-06-14,0,1,,2,13
2024-06-15,0,1,,1,14
2024-06-16,1,1,National Prayer Day,1,15
2024-06-17,1,1,National Prayer Day (observed),8,1
2024-06-18,0,0,,7,1
2024-06-19,0,0,,6,2
2024-06-20,0,0,,5,3
2024-06-21,0,0,,4,4
2024-06-22,0,0,,3,5
2024-06-23,0,0,,2,6
2024-06-24,0,0,,1,7
2024-06-25,1,1,Public Holiday (Protest response),107,8
2024-06-26,0,0,,106,1
2024-06-27,0,0,,105,2
2024-06-28,0,0,,104,3
2024-06-29,0,0,,103,4
2024-06-30,0,0,,102,5
2024-07-01,0,0,,101,6
2024-07-02,0,0,,100,7
2024-07-03,0,0,,99,8
2024-07-04,0,0,,98,9
2024-07-05,0,0,,97,10
2024-07-06,0,0,,96,11
2024-07-07,0,0,,95,12
2024-07-08,0,0,,94,13
2024-07-09,0,0,,93,14
2024-07-10,0,0,,92,15
2024-07-11,0,0,,91,16
2024-07-12,0,0,,90,17
2024-07-13,0,0,,89,18
2024-07-14,0,0,,88,19
2024-07-15,0,0,,87,20
2024-07-16,0,0,,86,21
2024-07-17,0,0,,85,22
2024-07-18,0,0,,84,23
2024-07-19,0,0,,83,24
2024-07-20,0,0,,82,25
2024-07-21,0,0,,81,26
2024-07-22,0,0,,80,27
2024-07-23,0,0,,79,28
2024-07-24,0,0,,78,29
2024-07-25,0,0,,77,30
2024-07-26,0,0,,76,31
2024-07-27,0,0,,75,32
2024-07-28,0,0,,74,33
2024-07-29,0,0,,73,34
2024-07-30,0,0,,72,35
2024-07-31,0,0,,71,36
2024-08-01,0,0,,70,37
2024-08-02,0,0,,69,38
2024-08-03,0,0,,68,39
2024-08-04,0,0,,67,40
2024-08-05,0,0,,66,41
2024-08-06,0,0,,65,42
2024-08-07,0,0,,64,43
2024-08-08,0,0,,63,44
2024-08-09,0,0,,62,45
2024-08-10,0,0,,61,46
2024-08-11,0,0,,60,47
2024-08-12,0,0,,59,48
2024-08-13,0,0,,58,49
2024-08-14,0,0,,57,50
2024-08-15,0,0,,56,51
2024-08-16,0,0,,55,52
2024-08-17,0,0,,54,53
2024-08-18,0,0,,53,54
2024-08-19,0,0,,52,55
2024-08-20,0,0,,51,56
2024-08-21,0,0,,50,57
2024-08-22,0,0,,49,58
2024-08-23,0,0,,48,59
2024-08-24,0,0,,47,60
2024-08-25,0,0,,46,61
2024-08-26,0,0,,45,62
2024-08-27,0,0,,44,63
2024-08-28,0,0,,43,64
2024-08-29,0,0,,42,65
2024-08-30,0,0,,41,66
2024-08-31,0,0,,40,67
2024-09-01,0,0,,39,68
2024-09-02,0,0,,38,69
2024-09-03,0,0,,37,70
2024-09-04,0,0,,36,71
2024-09-05,0,0,,35,72
2024-09-06,0,0,,34,73
2024-09-07,0,0,,33,74
2024-09-08,0,0,,32,75
2024-09-09,0,0,,31,76
2024-09-10,0,0,,30,77
2024-09-11,0,0,,29,78
2024-09-12,0,0,,28,79
2024-09-13,0,0,,27,80
2024-09-14,0,0,,26,81
2024-09-15,0,0,,25,82
2024-09-16,0,0,,24,83
2024-09-17,0,0,,23,84
2024-09-18,0,0,,22,85
2024-09-19,0,0,,21,86
2024-09-20,0,0,,20,87
2024-09-21,0,0,,19,88
2024-09-22,0,0,,18,89
2024-09-23,0,0,,17,90
2024-09-24,0,0,,16,91
2024-09-25,0,0,,15,92
2024-09-26,0,0,,14,93
2024-09-27,0,0,,13,94
2024-09-28,0,0,,12,95
2024-09-29,0,0,,11,96
2024-09-30,0,0,,10,97
2024-10-01,0,0,,9,98
2024-10-02,0,0,,8,99
2024-10-03,0,0,,7,100
2024-10-04,0,0,,6,101
2024-10-05,0,0,,5,102
2024-10-06,0,0,,4,103
2024-10-07,0,0,,3,104
2024-10-08,0,0,,2,105
2024-10-09,0,0,,1,106
2024-10-10,1,1,Utamaduni Day,10,107
2024-10-11,0,0,,9,1
2024-10-12,0,0,,8,2
2024-10-13,0,0,,7,3
2024-10-14,0,0,,6,4
2024-10-15,0,0,,5,5
2024-10-16,0,0,,4,6
2024-10-17,0,0,,3,7
2024-10-18,0,1,,2,8
2024-10-19,0,1,,1,9
2024-10-20,1,1,Mashujaa Day,1,10
2024-10-21,1,1,Mashujaa Day (observed),11,1
2024-10-22,0,0,,10,1
2024-10-23,0,0,,9,2
2024-10-24,0,0,,8,3
2024-10-25,0,0,,7,4
2024-10-26,0,0,,6,5
2024-10-27,0,0,,5,6
2024-10-28,0,0,,4,7
2024-10-29,0,0,,3,8
2024-10-30,0,0,,2,9
2024-10-31,0,0,,1,10
2024-11-01,1,1,Inauguration Day,41,11
2024-11-02,0,1,,40,1
2024-11-03,0,1,,39,2
2024-11-04,0,1,,38,3
2024-11-05,0,0,,37,4
2024-11-06,0,0,,36,5
2024-11-07,0,0,,35,6
2024-11-08,0,0,,34,7
2024-11-09,0,0,,33,8
2024-11-10,0,0,,32,9
2024-11-11,0,0,,31,10
2024-11-12,0,0,,30,11
2024-11-13,0,0,,29,12
2024-11-14,0,0,,28,13
2024-11-15,0,0,,27,14
2024-11-16,0,0,,26,15
2024-11-17,0,0,,25,16
2024-11-18,0,0,,24,17
2024-11-19,0,0,,23,18
2024-11-20,0,0,,22,19
2024-11-21,0,0,,21,20
2024-11-22,0,0,,20,21
2024-11-23,0,0,,19,22
2024-11-24,0,0,,18,23
2024-11-25,0,0,,17,24
2024-11-26,0,0,,16,25
2024-11-27,0,0,,15,26
2024-11-28,0,0,,14,27
2024-11-29,0,0,,13,28
2024-11-30,0,0,,12,29
2024-12-01,0,0,,11,30
2024-12-02,0,0,,10,31
2024-12-03,0,0,,9,32
2024-12-04,0,0,,8,33
2024-12-05,0,0,,7,34
2024-12-06,0,0,,6,35
2024-12-07,0,0,,5,36
2024-12-08,0,0,,4,37
2024-12-09,0,0,,3,38
2024-12-10,0,0,,2,39
2024-12-11,0,0,,1,40
2024-12-12,1,1,Jamhuri Day,13,41
2024-12-13,0,0,,12,1
2024-12-14,0,0,,11,2
2024-12-15,0,0,,10,3
2024-12-16,0,0,,9,4
2024-12-17,0,0,,8,5
2024-12-18,0,0,,7,6
2024-12-19,0,0,,6,7
2024-12-20,0,0,,5,8
2024-12-21,0,0,,4,9
2024-12-22,0,0,,3,10
2024-12-23,0,0,,2,11
2024-12-24,0,0,,1,12
2024-12-25,1,1,Christmas Day,1,13
2024-12-26,1,1,Boxing Day,6,1
2024-12-27,0,0,,5,1
2024-12-28,0,0,,4,2
2024-12-29,0,0,,3,3
2024-12-30,0,0,,2,4
2024-12-31,0,0,,1,5
2025-01-01,1,1,New Year's Day,88,6
2025-01-02,0,0,,87,1
2025-01-03,0,0,,86,2
2025-01-04,0,0,,85,3
2025-01-05,0,0,,84,4
2025-01-06,0,0,,83,5
2025-01-07,0,0,,82,6
2025-01-08,0,0,,81,7
2025-01-09,0,0,,80,8
2025-01-10,0,0,,79,9
2025-01-11,0,0,,78,10
2025-01-12,0,0,,77,11
2025-01-13,0,0,,76,12
2025-01-14,0,0,,75,13
2025-01-15,0,0,,74,14
2025-01-16,0,0,,73,15
2025-01-17,0,0,,72,16
2025-01-18,0,0,,71,17
2025-01-19,0,0,,70,18
2025-01-20,0,0,,69,19
2025-01-21,0,0,,68,20
2025-01-22,0,0,,67,21
2025-01-23,0,0,,66,22
2025-01-24,0,0,,65,23
2025-01-25,0,0,,64,24
2025-01-26,0,0,,63,25
2025-01-27,0,0,,62,26
2025-01-28,0,0,,61,27
2025-01-29,0,0,,60,28
2025-01-30,0,0,,59,29
2025-01-31,0,0,,58,30
2025-02-01,0,0,,57,31
2025-02-02,0,0,,56,32
2025-02-03,0,0,,55,33
2025-02-04,0,0,,54,34
2025-02-05,0,0,,53,35
2025-02-06,0,0,,52,36
2025-02-07,0,0,,51,37
2025-02-08,0,0,,50,38
2025-02-09,0,0,,49,39
2025-02-10,0,0,,48,40
2025-02-11,0,0,,47,41
2025-02-12,0,0,,46,42
2025-02-13,0,0,,45,43
2025-02-14,0,0,,44,44
2025-02-15,0,0,,43,45
2025-02-16,0,0,,42,46
2025-02-17,0,0,,41,47
2025-02-18,0,0,,40,48
2025-02-19,0,0,,39,49
2025-02-20,0,0,,38,50
2025-02-21,0,0,,37,51
2025-02-22,0,0,,36,52
2025-02-23,0,0,,35,53
2025-02-24,0,0,,34,54
2025-02-25,0,0,,33,55
2025-02-26,0,0,,32,56
2025-02-27,0,0,,31,57
2025-02-28,0,0,,30,58
2025-03-01,0,0,,29,59
2025-03-02,0,0,,28,60
2025-03-03,0,0,,27,61
2025-03-04,0,0,,26,62
2025-03-05,0,0,,25,63
2025-03-06,0,0,,24,64
2025-03-07,0,0,,23,65
2025-03-08,0,0,,22,66
2025-03-09,0,0,,21,67
2025-03-10,0,0,,20,68
2025-03-11,0,0,,19,69
2025-03-12,0,0,,18,70
2025-03-13,0,0,,17,71
2025-03-14,0,0,,16,72
2025-03-15,0,0,,15,73
2025-03-16,0,0,,14,74
2025-03-17,0,0,,13,75
2025-03-18,0,0,,12,76
2025-03-19,0,0,,11,77
2025-03-20,0,0,,10,78
2025-03-21,0,0,,9,79
2025-03-22,0,0,,8,80
2025-03-23,0,0,,7,81
2025-03-24,0,0,,6,82
2025-03-25,0,0,,5,83
2025-03-26,0,0,,4,84
2025-03-27,0,0,,3,85
2025-03-28,0,1,,2,86
2025-03-29,0,1,,1,87
2025-03-30,1,1,Idd-ul-Fitr (estimated),1,88
2025-03-31,1,1,"Idd-ul-Fitr (observed, estimated)",18,1
2025-04-01,0,0,,17,1
2025-04-02,0,0,,16,2
2025-04-03,0,0,,15,3
2025-04-04,0,0,,14,4
2025-04-05,0,0,,13,5
2025-04-06,0,0,,12,6
2025-04-07,0,0,,11,7
2025-04-08,0,0,,10,8
2025-04-09,0,0,,9,9
2025-04-10,0,0,,8,10
2025-04-11,0,0,,7,11
2025-04-12,0,0,,6,12
2025-04-13,0,0,,5,13
2025-04-14,0,0,,4,14
2025-04-15,0,0,,3,15
2025-04-16,0,0,,2,16
2025-04-17,0,0,,1,17
2025-04-18,1,1,Good Friday,3,18
2025-04-19,0,1,,2,1
2025-04-20,0,1,,1,2
2025-04-21,1,1,Easter Monday,10,3
2025-04-22,0,0,,9,1
2025-04-23,0,0,,8,2
2025-04-24,0,0,,7,3
2025-04-25,0,0,,6,4
2025-04-26,0,0,,5,5
2025-04-27,0,0,,4,6
2025-04-28,0,0,,3,7
2025-04-29,0,0,,2,8
2025-04-30,0,0,,1,9
2025-05-01,1,1,Labour Day,31,10
2025-05-02,0,0,,30,1
2025-05-03,0,0,,29,2
2025-05-04,0,0,,28,3
2025-05-05,0,0,,27,4
2025-05-06,0,0,,26,5
2025-05-07,0,0,,25,6
2025-05-08,0,0,,24,7
2025-05-09,0,0,,23,8
2025-05-10,0,0,,22,9
2025-05-11,0,0,,21,10
2025-05-12,0,0,,20,11
2025-05-13,0,0,,19,12
2025-05-14,0,0,,18,13
2025-05-15,0,0,,17,14
2025-05-16,0,0,,16,15
2025-05-17,0,0,,15,16
2025-05-18,0,0,,14,17
2025-05-19,0,0,,13,18
2025-05-20,0,0,,12,19
2025-05-21,0,0,,11,20
2025-05-22,0,0,,10,21
2025-05-23,0,0,,9,22
2025-05-24,0,0,,8,23
2025-05-25,0,0,,7,24
2025-05-26,0,0,,6,25
2025-05-27,0,0,,5,26
2025-05-28,0,0,,4,27
2025-05-29,0,0,,3,28
2025-05-30,0,1,,2,29
2025-05-31,0,1,,1,30
2025-06-01,1,1,Madaraka Day,1,31
2025-06-02,1,1,Madaraka Day (observed),130,1
2025-06-03,0,0,,129,1
2025-06-04,0,0,,128,2
2025-06-05,0,0,,127,3
2025-06-06,0,0,,126,4
2025-06-07,0,0,,125,5
2025-06-08,0,0,,124,6
2025-06-09,0,0,,123,7
2025-06-10,0,0,,122,8
2025-06-11,0,0,,121,9
2025-06-12,0,0,,120,10
2025-06-13,0,0,,119,11
2025-06-14,0,0,,118,12
2025-06-15,0,0,,117,13
2025-06-16,0,0,,116,14
2025-06-17,0,0,,115,15
2025-06-18,0,0,,114,16
2025-06-19,0,0,,113,17
2025-06-20,0,0,,112,18
2025-06-21,0,0,,111,19
2025-06-22,0,0,,110,20
2025-06-23,0,0,,109,21
2025-06-24,0,0,,108,22
2025-06-25,0,0,,107,23
2025-06-26,0,0,,106,24
2025-06-27,0,0,,105,25
2025-06-28,0,0,,104,26
2025-06-29,0,0,,103,27
2025-06-30,0,0,,102,28
2025-07-01,0,0,,101,29
2025-07-02,0,0,,100,30
2025-07-03,0,0,,99,31
2025-07-04,0,0,,98,32
2025-07-05,0,0,,97,33
2025-07-06,0,0,,96,34
2025-07-07,0,0,,95,35
2025-07-08,0,0,,94,36
2025-07-09,0,0,,93,37
2025-07-10,0,0,,92,38
2025-07-11,0,0,,91,39
2025-07-12,0,0,,90,40
2025-07-13,0,0,,89,41
2025-07-14,0,0,,88,42
2025-07-15,0,0,,87,43
2025-07-16,0,0,,86,44
2025-07-17,0,0,,85,45
2025-07-18,0,0,,84,46
2025-07-19,0,0,,83,47
2025-07-20,0,0,,82,48
2025-07-21,0,0,,81,49
2025-07-22,0,0,,80,50
2025-07-23,0,0,,79,51
2025-07-24,0,0,,78,52
2025-07-25,0,0,,77,53
2025-07-26,0,0,,76,54
2025-07-27,0,0,,75,55
2025-07-28,0,0,,74,56
2025-07-29,0,0,,73,57
2025-07-30,0,0,,72,58
2025-07-31,0,0,,71,59
2025-08-01,0,0,,70,60
2025-08-02,0,0,,69,61
2025-08-03,0,0,,68,62
2025-08-04,0,0,,67,63
2025-08-05,0,0,,66,64
2025-08-06,0,0,,65,65
2025-08-07,0,0,,64,66
2025-08-08,0,0,,63,67
2025-08-09,0,0,,62,68
2025-08-10,0,0,,61,69
2025-08-11,0,0,,60,70
2025-08-12,0,0,,59,71
2025-08-13,0,0,,58,72
2025-08-14,0,0,,57,73
2025-08-15,0,0,,56,74
2025-08-16,0,0,,55,75
2025-08-17,0,0,,54,76
2025-08-18,0,0,,53,77
2025-08-19,0,0,,52,78
2025-08-20,0,0,,51,79
2025-08-21,0,0,,50,80
2025-08-22,0,0,,49,81
2025-08-23,0,0,,48,82
2025-08-24,0,0,,47,83
2025-08-25,0,0,,46,84
2025-08-26,0,0,,45,85
2025-08-27,0,0,,44,86
2025-08-28,0,0,,43,87
2025-08-29,0,0,,42,88
2025-08-30,0,0,,41,89
2025-08-31,0,0,,40,90
2025-09-01,0,0,,39,91
2025-09-02,0,0,,38,92
2025-09-03,0,0,,37,93
2025-09-04,0,0,,36,94
2025-09-05,0,0,,35,95
2025-09-06,0,0,,34,96
2025-09-07,0,0,,33,97
2025-09-08,0,0,,32,98
2025-09-09,0,0,,31,99
2025-09-10,0,0,,30,100
2025-09-11,0,0,,29,101
2025-09-12,0,0,,28,102
2025-09-13,0,0,,27,103
2025-09-14,0,0,,26,104
2025-09-15,0,0,,25,105
2025-09-16,0,0,,24,106
2025-09-17,0,0,,23,107
2025-09-18,0,0,,22,108
2025-09-19,0,0,,21,109
2025-09-20,0,0,,20,110
2025-09-21,0,0,,19,111
2025-09-22,0,0,,18,112
2025-09-23,0,0,,17,113
2025-09-24,0,0,,16,114
2025-09-25,0,0,,15,115
2025-09-26,0,0,,14,116
2025-09-27,0,0,,13,117
2025-09-28,0,0,,12,118
2025-09-29,0,0,,11,119
2025-09-30,0,0,,10,120
2025-10-01,0,0,,9,121
2025-10-02,0,0,,8,122
2025-10-03,0,0,,7,123
2025-10-04,0,0,,6,124
2025-10-05,0,0,,5,125
2025-10-06,0,0,,4,126
2025-10-07,0,0,,3,127
2025-10-08,0,0,,2,128
2025-10-09,0,0,,1,129
2025-10-10,1,1,Huduma Day,10,130
2025-10-11,0,1,,9,1
2025-10-12,0,1,,8,2
2025-10-13,0,1,,7,3
2025-10-14,0,0,,6,4
2025-10-15,0,0,,5,5
2025-10-16,0,0,,4,6
2025-10-17,0,1,,3,7
2025-10-18,0,1,,2,8
2025-10-19,0,1,,1,9
2025-10-20,1,1,Mashujaa Day,53,10
2025-10-21,0,0,,52,1
2025-10-22,0,0,,51,2
2025-10-23,0,0,,50,3
2025-10-24,0,0,,49,4
2025-10-25,0,0,,48,5
2025-10-26,0,0,,47,6
2025-10-27,0,0,,46,7
2025-10-28,0,0,,45,8
2025-10-29,0,0,,44,9
2025-10-30,0,0,,43,10
2025-10-31,0,0,,42,11
2025-11-01,0,0,,41,12
2025-11-02,0,0,,40,13
2025-11-03,0,0,,39,14
2025-11-04,0,0,,38,15
2025-11-05,0,0,,37,16
2025-11-06,0,0,,36,17
2025-11-07,0,0,,35,18
2025-11-08,0,0,,34,19
2025-11-09,0,0,,33,20
2025-11-10,0,0,,32,21
2025-11-11,0,0,,31,22
2025-11-12,0,0,,30,23
2025-11-13,0,0,,29,24
2025-11-14,0,0,,28,25
2025-11-15,0,0,,27,26
2025-11-16,0,0,,26,27
2025-11-17,0,0,,25,28
2025-11-18,0,0,,24,29
2025-11-19,0,0,,23,30
2025-11-20,0,0,,22,31
2025-11-21,0,0,,21,32
2025-11-22,0,0,,20,33
2025-11-23,0,0,,19,34
2025-11-24,0,0,,18,35
2025-11-25,0,0,,17,36
2025-11-26,0,0,,16,37
2025-11-27,0,0,,15,38
2025-11-28,0,0,,14,39
2025-11-29,0,0,,13,40
2025-11-30,0,0,,12,41
2025-12-01,0,0,,11,42
2025-12-02,0,0,,10,43
2025-12-03,0,0,,9,44
2025-12-04,0,0,,8,45
2025-12-05,0,0,,7,46
2025-12-06,0,0,,6,47
2025-12-07,0,0,,5,48
2025-12-08,0,0,,4,49
2025-12-09,0,0,,3,50
2025-12-10,0,0,,2,51
2025-12-11,0,0,,1,52
2025-12-12,1,1,Jamhuri Day,13,53
2025-12-13,0,1,,12,1
2025-12-14,0,1,,11,2
2025-12-15,0,1,,10,3
2025-12-16,0,0,,9,4
2025-12-17,0,0,,8,5
2025-12-18,0,0,,7,6
2025-12-19,0,0,,6,7
2025-12-20,0,0,,5,8
2025-12-21,0,0,,4,9
2025-12-22,0,0,,3,10
2025-12-23,0,0,,2,11
2025-12-24,0,0,,1,12
2025-12-25,1,1,Christmas Day,1,13
2025-12-26,1,1,Boxing Day,6,1
2025-12-27,0,1,,5,1
2025-12-28,0,1,,4,2
2025-12-29,0,1,,3,3
2025-12-30,0,0,,2,4
2025-12-31,0,0,,1,5
2026-01-01,1,1,New Year's Day,78,6
2026-01-02,0,0,,77,1
2026-01-03,0,0,,76,2
2026-01-04,0,0,,75,3
2026-01-05,0,0,,74,4
2026-01-06,0,0,,73,5
2026-01-07,0,0,,72,6
2026-01-08,0,0,,71,7
2026-01-09,0,0,,70,8
2026-01-10,0,0,,69,9
2026-01-11,0,0,,68,10
2026-01-12,0,0,,67,11
2026-01-13,0,0,,66,12
2026-01-14,0,0,,65,13
2026-01-15,0,0,,64,14
2026-01-16,0,0,,63,15
2026-01-17,0,0,,62,16
2026-01-18,0,0,,61,17
2026-01-19,0,0,,60,18
2026-01-20,0,0,,59,19
2026-01-21,0,0,,58,20
2026-01-22,0,0,,57,21
2026-01-23,0,0,,56,22
2026-01-24,0,0,,55,23
2026-01-25,0,0,,54,24
2026-01-26,0,0,,53,25
2026-01-27,0,0,,52,26
2026-01-28,0,0,,51,27
2026-01-29,0,0,,50,28
2026-01-30,0,0,,49,29
2026-01-31,0,0,,48,30
2026-02-01,0,0,,47,31
2026-02-02,0,0,,46,32
2026-02-03,0,0,,45,33
2026-02-04,0,0,,44,34
2026-02-05,0,0,,43,35
2026-02-06,0,0,,42,36
2026-02-07,0,0,,41,37
2026-02-08,0,0,,40,38
2026-02-09,0,0,,39,39
2026-02-10,0,0,,38,40
2026-02-11,0,0,,37,41
2026-02-12,0,0,,36,42
2026-02-13,0,0,,35,43
2026-02-14,0,0,,34,44
2026-02-15,0,0,,33,45
2026-02-16,0,0,,32,46
2026-02-17,0,0,,31,47
2026-02-18,0,0,,30,48
2026-02-19,0,0,,29,49
2026-02-20,0,0,,28,50
2026-02-21,0,0,,27,51
2026-02-22,0,0,,26,52
2026-02-23,0,0,,25,53
2026-02-24,0,0,,24,54
2026-02-25,0,0,,23,55
2026-02-26,0,0,,22,56
2026-02-27,0,0,,21,57
2026-02-28,0,0,,20,58
2026-03-01,0,0,,19,59
2026-03-02,0,0,,18,60
2026-03-03,0,0,,17,61
2026-03-04,0,0,,16,62
2026-03-05,0,0,,15,63
2026-03-06,0,0,,14,64
2026-03-07,0,0,,13,65
2026-03-08,0,0,,12,66
2026-03-09,0,0,,11,67
2026-03-10,0,0,,10,68
2026-03-11,0,0,,9,69
2026-03-12,0,0,,8,70
2026-03-13,0,0,,7,71
2026-03-14,0,0,,6,72
2026-03-15,0,0,,5,73
2026-03-16,0,0,,4,74
2026-03-17,0,0,,3,75
2026-03-18,0,0,,2,76
2026-03-19,0,0,,1,77
2026-03-20,1,1,Idd-ul-Fitr (estimated),14,78
2026-03-21,0,1,,13,1
2026-03-22,0,1,,12,2
2026-03-23,0,1,,11,3
2026-03-24,0,0,,10,4
2026-03-25,0,0,,9,5
2026-03-26,0,0,,8,6
2026-03-27,0,0,,7,7
2026-03-28,0,0,,6,8
2026-03-29,0,0,,5,9
2026-03-30,0,0,,4,10
2026-03-31,0,0,,3,11
2026-04-01,0,0,,2,12
2026-04-02,0,0,,1,13
2026-04-03,1,1,Good Friday,3,14
2026-04-04,0,1,,2,1
2026-04-05,0,1,,1,2
2026-04-06,1,1,Easter Monday,25,3
2026-04-07,0,0,,24,1
2026-04-08,0,0,,23,2
2026-04-09,0,0,,22,3
2026-04-10,0,0,,21,4
2026-04-11,0,0,,20,5
2026-04-12,0,0,,19,6
2026-04-13,0,0,,18,7
2026-04-14,0,0,,17,8
2026-04-15,0,0,,16,9
2026-04-16,0,0,,15,10
2026-04-17,0,0,,14,11
2026-04-18,0,0,,13,12
2026-04-19,0,0,,12,13
2026-04-20,0,0,,11,14
2026-04-21,0,0,,10,15
2026-04-22,0,0,,9,16
2026-04-23,0,0,,8,17
2026-04-24,0,0,,7,18
2026-04-25,0,0,,6,19
2026-04-26,0,0,,5,20
2026-04-27,0,0,,4,21
2026-04-28,0,0,,3,22
2026-04-29,0,0,,2,23
2026-04-30,0,0,,1,24
